Image_ID,People,Vehicles,Bags,Barrels,Antennas
1,3,2,0,2,2
2,0,0,0,0,0
3,2,4,0,0,2
4,0,3,0,0,3
5,0,0,0,3,4
6,2,2,0,2,2
7,0,0,0,0,1
8,0,0,4,0,4
9,5,0,0,5,0
10,0,2,0,0,0
11,0,0,0,0,0
12,0,3,0,0,0
13,0,1,0,0,1
14,0,1,0,1,1
15,0,0,0,0,0
16,5,1,1,1,0
17,4,1,0,4,0
18,0,3,0,0,0
19,0,1,0,0,5
20,1,0,0,1,3
21,2,0,5,0,0
22,5,0,1,0,0
23,0,1,2,2,0
24,0,0,5,0,5
25,0,0,3,3,2
26,2,1,1,2,0
27,1,0,3,0,0
28,3,1,0,2,0
29,0,4,0,1,2
30,3,0,0,1,0
31,0,2,0,3,0
32,0,0,3,0,0
33,5,0,0,5,0
34,0,2,0,0,5
35,0,1,3,0,2
36,1,0,1,0,0
37,5,1,0,3,1
38,5,0,2,2,0
39,0,0,2,1,0
40,0,1,2,2,0
41,0,0,0,1,0
42,0,3,0,0,3
43,0,2,0,0,0
44,0,3,0,3,3
45,0,2,0,1,2
46,0,0,0,0,1
47,3,0,2,3,0
48,0,3,1,0,3
49,2,4,0,0,3
50,0,0,1,1,0
51,4,2,0,0,0
52,2,0,0,0,0
53,2,0,1,3,0
54,0,0,0,2,1
55,1,4,2,1,1
56,0,0,2,1,0
57,3,0,4,2,1
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,3
61,3,2,5,0,0
62,0,2,0,0,5
63,0,1,0,0,0
64,0,0,0,3,1
65,0,0,4,3,0
66,0,3,2,2,0
67,4,1,0,0,0
68,0,0,0,1,0
69,1,0,1,0,0
70,0,3,2,2,0
71,1,2,0,0,3
72,0,0,0,1,0
73,0,0,0,0,1
74,0,0,0,0,0
75,0,0,0,0,5
76,2,0,0,0,2
77,0,2,0,0,0
78,1,1,1,1,0
79,1,2,5,2,0
80,3,1,2,1,1
81,2,2,1,2,1
82,1,2,3,1,2
83,0,1,0,0,1
84,0,0,1,0,0
85,0,0,0,0,2
86,2,1,0,1,0
87,1,2,0,0,3
88,0,0,3,2,0
89,0,1,0,0,0
90,1,3,5,0,0
91,2,2,0,0,5
92,0,0,0,0,0
93,0,0,0,0,0
94,1,1,4,1,1
95,0,1,2,0,0
96,0,3,0,2,5
97,3,0,0,0,0
98,0,1,0,0,0
99,0,3,2,1,2
100,0,1,0,0,5
101,0,0,2,2,0
102,0,0,0,0,0
103,0,0,0,1,0
104,0,3,0,2,3
105,0,0,0,3,0
106,0,0,0,0,0
107,2,2,1,2,3
108,0,0,0,0,4
109,2,0,0,1,3
110,0,2,4,1,1
111,0,5,0,0,3
112,1,1,4,0,0
113,3,3,0,2,1
114,2,1,2,1,1
115,2,2,2,2,2
116,1,0,0,2,0
117,0,0,5,0,0
118,1,0,0,0,0
119,1,2,0,2,0
120,0,0,0,0,0
121,1,0,2,2,0
122,0,0,2,0,0
123,0,0,0,0,0
124,0,2,0,2,0
125,4,0,0,0,0
126,5,0,1,3,0
127,0,1,4,5,0
128,0,2,0,0,0
129,0,3,2,2,0
130,0,0,0,0,0
131,5,0,0,0,0
132,0,1,0,0,1
133,0,3,0,1,0
134,0,4,0,0,5
135,0,0,1,0,0
136,4,0,4,1,0
137,0,0,3,1,0
138,0,1,0,2,0
139,0,0,3,1,5
140,0,0,5,2,0
141,0,0,5,3,0
142,0,1,0,0,0
143,2,0,2,1,0
144,0,0,0,0,0
145,0,5,0,0,5
146,0,2,2,0,3
147,0,0,1,0,0
148,3,0,0,1,0
149,0,1,3,2,2
150,1,0,4,5,0
151,0,2,0,2,3
152,3,2,2,2,0
153,3,0,2,2,0
154,2,0,0,1,0
155,3,2,0,3,2
156,0,2,0,0,0
157,0,0,0,0,2
158,1,0,0,3,0
159,3,0,0,3,0
160,3,0,1,1,0
161,0,1,0,0,3
162,2,1,0,0,2
163,0,3,0,0,0
164,0,0,0,0,0
165,5,0,2,3,0
