Image_ID,People,Vehicles,Bags,Barrels,Antennas
1,0,3,0,0,3
2,2,1,3,3,0
3,0,1,5,1,0
4,0,0,0,0,0
5,0,1,0,0,2
6,0,3,0,0,5
7,0,3,2,2,0
8,1,0,0,1,3
9,0,3,4,3,0
10,0,2,0,0,3
11,0,0,0,0,0
12,3,0,0,0,0
13,0,1,0,0,3
14,0,0,3,3,0
15,1,0,0,3,0
16,4,2,0,0,0
17,0,4,0,0,5
18,1,1,0,0,0
19,0,0,3,0,1
20,0,1,0,0,5
21,0,1,0,5,0
22,0,2,0,0,5
23,0,0,3,4,0
24,0,0,0,0,0
25,2,0,0,0,0
26,3,1,5,0,0
27,4,0,4,0,0
28,3,2,5,0,0
29,0,0,3,0,0
30,1,0,4,5,0
31,0,2,0,3,0
32,0,0,0,0,2
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,5,2,0
36,2,3,2,1,0
37,4,1,0,1,0
38,1,2,0,1,0
39,0,0,0,0,0
40,5,0,1,0,0
41,0,2,0,2,0
42,2,2,3,3,0
43,0,0,0,0,1
44,2,3,4,1,0
45,4,1,2,2,0
46,1,1,0,0,0
47,2,1,0,0,0
48,3,0,0,0,0
49,0,2,0,0,3
50,5,0,2,2,0
51,0,0,0,0,0
52,0,0,0,0,3
53,0,1,4,3,0
54,0,0,0,0,1
55,0,0,2,0,0
56,3,2,0,2,2
57,0,0,0,0,1
58,1,0,0,0,4
59,0,0,0,0,1
60,0,1,0,0,1
61,0,0,3,2,0
62,0,1,0,3,5
63,0,0,0,0,4
64,5,1,0,3,1
65,2,0,2,1,0
66,1,1,5,2,0
67,0,0,0,0,0
68,0,0,0,1,0
69,0,0,0,0,4
70,3,0,3,2,0
71,0,1,2,2,0
72,0,2,0,0,5
73,5,4,0,0,1
74,3,0,0,3,0
75,0,5,0,0,5
76,0,2,3,0,0
77,0,0,0,0,0
78,0,2,0,3,0
79,3,1,0,5,1
80,0,0,0,2,1
81,2,1,5,1,0
82,2,4,0,0,3
83,0,2,0,0,0
84,4,0,3,3,0
85,0,0,0,0,0
86,1,2,3,1,2
87,5,0,3,0,0
88,0,3,0,0,1
89,0,0,0,0,0
90,4,3,0,0,0
91,3,0,0,4,0
92,2,0,2,1,0
93,0,1,0,0,2
94,4,1,0,0,0
95,0,0,0,0,3
96,0,0,1,0,0
97,0,0,0,0,0
98,0,5,0,0,3
99,0,4,0,0,5
100,0,1,3,4,0
101,0,1,0,0,2
102,0,3,0,0,4
103,0,0,0,0,3
104,0,1,0,0,3
105,0,0,2,2,0
106,1,0,5,0,0
107,0,1,2,0,0
108,0,0,0,0,2
109,2,0,0,1,3
110,1,0,0,3,0
111,0,0,0,0,0
112,1,2,0,0,3
113,2,1,0,1,0
114,0,2,0,0,5
115,3,1,2,4,0
116,2,2,0,0,5
117,0,0,0,0,0
118,3,0,0,0,0
119,0,4,0,0,4
120,0,2,0,0,5
121,0,2,0,0,0
122,2,1,2,3,0
123,0,3,0,3,3
124,0,4,0,1,2
125,0,1,3,2,2
126,0,0,0,0,1
127,0,0,2,1,0
128,2,1,2,1,1
129,0,3,2,2,0
130,0,3,0,0,0
131,0,2,0,0,0
132,5,0,0,0,0
133,0,4,0,0,5
134,0,0,0,0,2
135,1,0,1,0,0
136,1,1,2,3,0
137,0,0,0,0,2
138,2,0,1,3,0
139,0,0,5,0,5
140,0,0,1,0,0
141,0,3,0,0,0
142,0,0,0,0,0
143,0,0,0,0,1
144,0,1,4,3,0
145,0,1,0,0,0
146,0,0,5,1,0
147,3,0,2,3,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,1,4,5,0
151,0,0,0,0,2
152,0,0,0,0,5
153,0,0,0,0,0
154,2,4,0,0,2
155,3,2,2,2,0
156,5,0,0,1,0
157,0,2,4,1,1
158,0,0,0,0,5
159,2,0,2,1,0
160,0,2,0,0,0
161,0,4,0,0,5
162,0,2,0,0,5
163,0,3,0,1,0
164,2,2,1,2,3
165,0,1,0,0,5
166,3,2,3,2,0
167,1,1,0,2,0
168,2,0,0,3,0
169,0,0,0,0,3
170,0,3,0,0,0
171,1,4,2,1,1
172,0,1,3,4,0
173,1,1,3,1,0
174,0,2,1,0,0
175,0,0,0,0,2
176,5,0,0,2,0
177,2,1,0,0,0
178,3,0,0,3,0
179,3,0,2,2,0
180,0,4,0,0,5
181,1,2,5,2,0
182,1,1,4,1,1
183,4,0,0,4,0
184,0,1,1,3,0
185,0,5,0,0,5
186,0,0,0,0,0
187,0,0,0,0,1
188,0,0,5,4,0
189,2,0,3,3,0
190,0,2,2,1,3
191,5,0,0,0,0
192,0,0,0,0,3
193,0,0,0,0,0
194,0,1,3,0,0
195,0,0,0,0,4
196,0,1,2,0,0
197,0,2,2,0,0
198,0,2,0,0,4
199,2,0,4,0,0
200,0,1,5,0,0
201,0,2,0,1,2
202,0,3,4,0,0
203,1,1,0,0,0
204,0,0,0,0,0
205,1,0,2,2,0
206,1,1,0,0,0
207,0,0,0,0,1
208,0,1,0,0,0
209,5,0,2,3,0
210,0,3,0,0,5
211,0,0,3,1,0
212,3,3,0,2,1
213,0,0,0,0,0
214,0,0,0,0,1
215,0,1,5,4,0
216,0,1,4,0,0
217,5,0,0,0,0
218,3,0,2,1,0
219,1,1,0,0,2
220,0,0,0,0,1
221,2,1,2,3,0
222,0,0,0,0,1
