Date/Time,Mouse Position
2023-06-24 00:42:58.437875,"(412, 432)"
2023-06-24 00:42:58.462879,"(411, 433)"
2023-06-24 00:42:58.489824,"(403, 437)"
2023-06-24 00:42:58.490774,"(398, 437)"
2023-06-24 00:42:58.516813,"(390, 440)"
2023-06-24 00:42:58.541842,"(384, 441)"
2023-06-24 00:42:58.567835,"(384, 442)"
2023-06-24 00:42:58.617905,"(385, 440)"
2023-06-24 00:42:58.643011,"(398, 429)"
2023-06-24 00:42:58.679116,"(441, 399)"
2023-06-24 00:42:58.706115,"(557, 347)"
2023-06-24 00:42:58.731064,"(630, 310)"
2023-06-24 00:42:58.758103,"(671, 295)"
2023-06-24 00:42:58.785064,"(705, 273)"
2023-06-24 00:42:58.810114,"(706, 222)"
2023-06-24 00:42:58.838066,"(661, 208)"
2023-06-24 00:42:58.863180,"(656, 209)"
2023-06-24 00:43:00.784272,"(656, 210)"
2023-06-24 00:43:09.104349,"(705, 195)"
2023-06-24 00:43:09.128399,"(870, 121)"
2023-06-24 00:43:09.179401,"(1223, 0)"
2023-06-24 00:43:11.698740,"(936, 351)"
2023-06-24 00:43:11.731811,"(735, 351)"
2023-06-24 00:43:11.763810,"(632, 351)"
2023-06-24 00:43:11.795321,"(604, 350)"
2023-06-24 00:43:11.822846,"(602, 350)"
2023-06-24 00:43:11.876955,"(603, 350)"
2023-06-24 00:43:11.907281,"(594, 350)"
2023-06-24 00:43:11.935491,"(578, 350)"
2023-06-24 00:43:11.963990,"(571, 351)"
2023-06-24 00:43:12.047029,"(572, 351)"
2023-06-24 00:43:12.124522,"(573, 351)"
2023-06-24 00:43:12.124522,"(573, 350)"
2023-06-24 00:43:12.217558,"(574, 349)"
2023-06-24 00:43:12.245553,"(575, 349)"
2023-06-24 00:43:12.279075,"(576, 349)"
2023-06-24 00:43:12.306894,"(576, 348)"
2023-06-24 00:43:12.335427,"(577, 348)"
2023-06-24 00:43:12.367985,"(579, 346)"
2023-06-24 00:43:12.371984,"(580, 346)"
2023-06-24 00:43:12.394974,"(581, 346)"
2023-06-24 00:43:12.410975,"(582, 345)"
2023-06-24 00:43:12.419494,"(583, 345)"
2023-06-24 00:43:12.426491,"(584, 343)"
2023-06-24 00:43:12.437033,"(585, 340)"
2023-06-24 00:43:12.442021,"(588, 337)"
2023-06-24 00:43:12.452024,"(591, 332)"
2023-06-24 00:43:12.460019,"(595, 324)"
2023-06-24 00:43:12.469019,"(598, 318)"
2023-06-24 00:43:12.474049,"(603, 312)"
2023-06-24 00:43:12.485031,"(607, 307)"
2023-06-24 00:43:12.491019,"(610, 303)"
2023-06-24 00:43:12.675291,"(609, 304)"
2023-06-24 00:43:12.685335,"(608, 304)"
2023-06-24 00:43:12.690288,"(607, 305)"
2023-06-24 00:43:12.706288,"(606, 306)"
2023-06-24 00:43:12.715297,"(605, 307)"
2023-06-24 00:43:12.722292,"(605, 308)"
2023-06-24 00:43:12.731328,"(604, 309)"
2023-06-24 00:43:12.738288,"(610, 304)"
2023-06-24 00:43:12.747333,"(610, 305)"
2023-06-24 00:43:12.754289,"(610, 306)"
2023-06-24 00:43:12.763331,"(610, 307)"
2023-06-24 00:43:12.771329,"(608, 310)"
2023-06-24 00:43:12.780329,"(608, 312)"
2023-06-24 00:43:13.929112,"(609, 312)"
2023-06-24 00:43:13.961129,"(609, 311)"
2023-06-24 00:43:13.987127,"(610, 311)"
2023-06-24 00:43:14.085106,"(611, 311)"
2023-06-24 00:43:14.892195,"(612, 311)"
2023-06-24 00:43:16.418075,"(613, 311)"
2023-06-24 00:43:16.468166,"(616, 311)"
2023-06-24 00:43:16.492091,"(622, 312)"
2023-06-24 00:43:16.518092,"(629, 312)"
2023-06-24 00:43:16.543092,"(638, 312)"
2023-06-24 00:43:16.568231,"(643, 312)"
2023-06-24 00:43:16.593700,"(647, 312)"
2023-06-24 00:43:16.877398,"(648, 312)"
2023-06-24 00:43:17.596453,"(649, 312)"
2023-06-24 00:43:17.772285,"(650, 312)"
2023-06-24 00:43:17.797334,"(656, 313)"
2023-06-24 00:43:17.823807,"(682, 315)"
2023-06-24 00:43:17.848858,"(731, 315)"
2023-06-24 00:43:17.873541,"(806, 313)"
2023-06-24 00:43:17.900865,"(934, 315)"
2023-06-24 00:43:17.926918,"(1016, 317)"
2023-06-24 00:43:17.927918,"(1051, 317)"
2023-06-24 00:43:17.953939,"(1172, 319)"
2023-06-24 00:43:17.954938,"(1207, 319)"
2023-06-24 00:43:17.979986,"(1302, 319)"
2023-06-24 00:43:18.005987,"(1361, 318)"
2023-06-24 00:43:18.057806,"(1367, 322)"
2023-06-24 00:43:18.920412,"(1160, 420)"
2023-06-24 00:43:18.951408,"(911, 422)"
2023-06-24 00:43:18.985531,"(727, 422)"
2023-06-24 00:43:19.017090,"(659, 422)"
2023-06-24 00:43:19.046626,"(653, 421)"
2023-06-24 00:43:19.623236,"(655, 420)"
2023-06-24 00:43:19.649236,"(659, 417)"
2023-06-24 00:43:19.675283,"(688, 408)"
2023-06-24 00:43:19.702235,"(731, 399)"
2023-06-24 00:43:19.726721,"(806, 388)"
2023-06-24 00:43:19.753330,"(909, 382)"
2023-06-24 00:43:19.778392,"(1078, 382)"
2023-06-24 00:43:19.805426,"(1227, 382)"
2023-06-24 00:43:19.830377,"(1367, 382)"
2023-06-24 00:43:20.596396,"(1285, 353)"
