Time,Mouse Position
2023-05-19 11:07:34.780448,"(418, 234)"
2023-05-19 11:07:36.005180,"(903, 267)"
2023-05-19 11:07:36.632701,"(1190, 257)"
2023-05-19 11:07:36.911557,"(1209, 138)"
2023-05-19 11:07:37.642585,"(1164, 732)"
2023-05-19 11:07:38.409097,"(1172, 732)"
2023-05-19 11:07:38.643263,"(1171, 732)"
2023-05-19 11:07:38.900028,"(1171, 732)"
2023-05-19 11:07:39.253371,"(1170, 732)"
2023-05-19 11:07:39.690444,"(1168, 734)"
2023-05-19 11:07:40.089951,"(1168, 734)"
2023-05-19 11:07:40.399962,"(1167, 735)"
2023-05-19 11:07:40.733076,"(1167, 735)"
2023-05-19 11:07:40.943605,"(1167, 735)"
2023-05-19 11:07:41.176940,"(1167, 735)"
2023-05-19 11:07:41.420844,"(1167, 735)"
2023-05-19 11:07:41.633989,"(1167, 735)"
2023-05-19 11:07:41.870620,"(1167, 735)"
2023-05-19 11:07:42.066147,"(1167, 735)"
2023-05-19 11:07:42.286525,"(1167, 735)"
2023-05-19 11:07:42.481477,"(1167, 735)"
2023-05-19 11:07:43.298387,"(1195, 355)"
2023-05-19 11:07:43.852845,"(1161, 714)"
2023-05-19 11:07:51.400670,"(286, 449)"
2023-05-19 11:07:52.815477,"(1190, 260)"
2023-05-19 11:07:53.275695,"(1190, 119)"
2023-05-19 11:07:53.900572,"(888, 133)"
2023-05-19 11:07:54.711000,"(1150, 712)"
2023-05-19 11:07:55.686284,"(1187, 593)"
2023-05-19 11:07:55.943174,"(1201, 487)"
2023-05-19 11:07:56.987655,"(897, 490)"
2023-05-19 11:07:57.293765,"(886, 594)"
2023-05-19 11:07:58.026782,"(1140, 705)"
2023-05-19 11:07:58.656048,"(1207, 614)"
2023-05-19 11:07:58.933552,"(1204, 503)"
2023-05-19 11:07:59.761577,"(1152, 704)"
2023-05-19 11:08:00.153868,"(1190, 504)"
2023-05-19 11:08:00.459903,"(1192, 377)"
2023-05-19 11:08:01.494004,"(1198, 241)"
2023-05-19 11:08:01.797934,"(1187, 128)"
2023-05-19 11:08:02.460385,"(1133, 716)"
2023-05-19 11:08:02.870086,"(1176, 570)"
2023-05-19 11:08:03.915524,"(1190, 239)"
2023-05-19 11:08:04.241729,"(1203, 118)"
2023-05-19 11:08:04.748495,"(1107, 697)"
2023-05-19 11:08:05.212414,"(1102, 747)"
Time,Mouse Position
2023-05-19 14:53:43.872526,"(457, 230)"
2023-05-19 14:53:45.165909,"(1153, 730)"
2023-05-19 14:53:46.683485,"(1171, 135)"
2023-05-19 14:53:47.843064,"(1174, 721)"
2023-05-19 14:53:48.561847,"(1165, 719)"
2023-05-19 14:53:50.109943,"(1170, 712)"
2023-05-19 14:53:50.321627,"(1170, 712)"
2023-05-19 14:53:50.490912,"(1170, 712)"
2023-05-19 14:53:54.690923,"(350, 463)"
2023-05-19 14:53:56.684474,"(1194, 129)"
2023-05-19 14:53:57.583549,"(1147, 715)"
2023-05-19 14:53:58.357220,"(1137, 712)"
2023-05-19 14:53:58.888850,"(1137, 712)"
2023-05-19 14:53:59.347674,"(1136, 709)"
2023-05-19 14:53:59.631873,"(1135, 708)"
2023-05-19 14:53:59.823528,"(1134, 708)"
2023-05-19 14:54:00.068047,"(1132, 708)"
2023-05-19 14:54:00.309645,"(1130, 708)"
2023-05-19 14:54:00.544715,"(1128, 709)"
2023-05-19 14:54:00.781787,"(1127, 710)"
2023-05-19 14:54:01.040710,"(1127, 710)"
2023-05-19 14:54:01.229582,"(1127, 710)"
2023-05-19 14:54:01.441901,"(1127, 710)"
2023-05-19 14:54:01.824972,"(1127, 710)"
2023-05-19 14:54:02.330888,"(866, 579)"
2023-05-19 14:54:02.656799,"(877, 511)"
2023-05-19 14:54:03.218769,"(894, 367)"
2023-05-19 14:54:03.797685,"(1187, 250)"
2023-05-19 14:54:04.194662,"(1218, 371)"
2023-05-19 14:54:04.614066,"(1190, 501)"
2023-05-19 14:54:04.959628,"(1181, 636)"
2023-05-19 14:54:05.425972,"(1173, 717)"
Time,Mouse Position
2023-05-19 15:04:44.215544,"(377, 443)"
2023-05-19 15:04:44.216542,"(377, 443)"
2023-05-19 15:04:46.843941,"(255, 450)"
2023-05-19 15:04:46.844944,"(255, 450)"
2023-05-19 15:04:47.999341,"(337, 457)"
2023-05-19 15:04:47.999341,"(337, 457)"
2023-05-19 15:04:51.822216,"(356, 244)"
2023-05-19 15:04:52.919023,"(1186, 742)"
2023-05-19 15:04:53.245398,"(1184, 740)"
2023-05-19 15:04:53.465026,"(1183, 740)"
2023-05-19 15:04:53.695472,"(1183, 740)"
2023-05-19 15:04:54.126314,"(1183, 740)"
2023-05-19 15:04:54.554088,"(1180, 739)"
2023-05-19 15:04:54.971495,"(1172, 736)"
2023-05-19 15:04:55.368419,"(1169, 736)"
2023-05-19 15:04:55.917414,"(1146, 733)"
2023-05-19 15:04:56.394587,"(1145, 731)"
2023-05-19 15:04:57.013230,"(1145, 729)"
2023-05-19 15:04:57.316942,"(1145, 729)"
2023-05-19 15:05:01.499420,"(264, 437)"
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
2023-05-19 21:43:06.811303,"(360, 446)"
2023-05-19 21:43:06.812297,"(360, 446)"
2023-05-19 21:43:09.858267,"(445, 264)"
2023-05-19 21:43:15.510809,"(326, 248)"
2023-05-19 21:43:20.042031,"(899, 134)"
2023-05-19 21:43:20.577091,"(892, 141)"
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
Time,Mouse Position
2023-05-20 06:27:12.901482,"(393, 443)"
2023-05-20 06:27:12.902442,"(393, 443)"
2023-05-20 06:27:13.878785,"(430, 273)"
2023-05-20 06:27:15.128271,"(1168, 744)"
2023-05-20 06:27:15.346686,"(1169, 742)"
2023-05-20 06:27:19.948842,"(459, 470)"
2023-05-20 06:27:21.632560,"(1166, 730)"
Time,Mouse Position
2023-05-20 06:29:54.009414,"(381, 458)"
2023-05-20 06:29:54.009414,"(381, 458)"
2023-05-20 06:29:54.636119,"(416, 257)"
2023-05-20 06:29:58.210157,"(343, 454)"
2023-05-20 06:29:59.925016,"(1161, 720)"
Time,Mouse Position
2023-05-20 06:31:06.503232,"(431, 261)"
2023-05-20 06:31:11.468098,"(317, 459)"
2023-05-20 06:31:14.426728,"(1155, 720)"
2023-05-20 06:31:17.242949,"(1156, 724)"
